fdc_id,unit,description,grams
167710,cubic,"cubic inch, boneless",17
167711,cup,cup,244
167711,fl oz,fl oz,30.5
167712,oz,oz,28.333
167712,slice,slice cooked,8
167713,oz,oz,28.333
167713,medium,"medium slice (approx 3"" x 2"" x 1/4"")",28
167713,thick,"thick slice (approx 3"" x 2"" x 3/8"")",42
167715,cup,cup (1 NLEA serving),47.2
167716,oz,oz,28.25
167716,cup,cup,226
167717,tsp,tsp,6
167719,cup,"cup, diced",130
167719,cup,cup pieces,168
167719,piece,piece,36
167721,oz,oz,28.4
167722,cup,cup,262
167723,fl oz,fl oz,29.1
167724,cup,cup,21
167725,cup,cup (1 NLEA serving),50
167727,cup,cup,252
167727,fl oz,fl oz,31.5
167730,cup,cup,244
167730,fl oz,fl oz,30.5
167734,oz,oz,28.35
167734,bar,bar,37
167735,cup,"cup, diced",132
167735,cup,"cup, shredded",113
167735,cubic,cubic inch,18
167735,slice,slice (1 oz),28
167736,tbsp,tbsp,15
167736,cup,cup,239
167737,tbsp,tablespoon,14
167737,tsp,teaspoon,4.5
167738,serving,serving,151
167738,cup,cup,262
167739,fl oz,fl oz,36
167739,serving,serving 2 fl oz,71
167739,can,can 10 fl oz,355
167740,serving,serving,9.9
167740,package,package,40
167741,serving,serving,113
167741,cup,cup,260
167742,oz,oz,28.333
167743,serving,serving,21
167744,oz,oz,28.333
167745,oz,oz,28.333
167746,cup,"cup, sections",212
167746,fruit,"fruit (2-1/8"" dia)",58
167746,fruit,"fruit (2-3/8"" dia)",84
167746,wedge,"wedge or slice (1/8 of one 2-1/8"" dia lemon)",7
167746,nlea,NLEA serving,58
167747,cup,cup,244
167747,fl oz,fl oz,30.5
167747,lemon,lemon yields,48
167747,wedge,wedge yields,5.9
167748,tbsp,tbsp,15
167748,tsp,tsp,5
167748,fl oz,fl oz,30.5
167748,cup,cup,244
167749,tbsp,tbsp,6
167749,tsp,tsp,2
167750,cup,cup,149
167750,fruit,fruit without refuse,103
167751,cup,"cup, pitted",248
167752,cup,"cup, pitted",248
167753,cup,cup,256
167753,fl oz,fl oz,32
167754,cup,"cup, sections",190
167754,fruit,fruit without refuse,609
167755,cup,cup,123
167755,pint,"pint as purchased, yields",312
167755,raspberry,raspberries,1.9
167756,cup,cup,256
167757,cup,"cup, thawed",250
167757,package,package (10 oz),284
167758,cup,"cup, diced",122
167758,stalk,stalk,51
167759,cup,"cup, pulp",241
167759,sapodilla,sapodilla,170
167760,cup,"cup 1"" pieces",175
167760,fruit,fruit without refuse,558
167761,cup,"cup, pulp",225
167761,fruit,"fruit (7"" x 5-1/4"" dia)",625
167762,cup,"cup, halves",152
167762,cup,"cup, pureed",232
167762,cup,"cup, sliced",166
167762,cup,"cup, whole",144
167762,extra-large,"extra large (1-5/8"" dia)",27
167762,large,"large (1-3/8"" dia)",18
167762,medium,"medium (1-1/4"" dia)",12
167762,pint,"pint as purchased, yields",357
167762,small,"small (1"" dia)",7
167762,nlea,NLEA serving,147
167763,cup,"cup, pulp",120
167763,fruit,"fruit (3"" x 1"")",2
167764,cup,cup,257
167765,cup,"cup, balls",154
167765,cup,"cup, diced",152
167765,melon,"melon (15"" long x 7-1/2"" dia)",4518
167765,wedge,wedge (approx 1/16 of melon),286
167765,watermelon,watermelon balls,12.2
167765,nlea,NLEA serving,280
167766,cherry,cherry (NLEA serving),5
167767,cup,"cup, chunks",181
167767,cup,"cup, crushed",195
167767,cup,"cup, sliced",162
167767,spear,spear,26
167768,cup,"cup, halves",219
167768,cup,"cup, whole",182
167769,cup,cup,168
167770,cup,cup,179
167771,cup,cup,248
167771,fl oz,fl oz,31
167772,cup,cup,244
167773,cup,cup,255
167774,cup,cup,247
167774,fruit,fruit yields,196
167775,cup,cup,239
167775,fl oz,fl oz,29.9
167776,cup,"cup, sliced",140
167776,small,small,152
167776,medium,medium,177
167776,large,large,227
167777,small,small,126
167777,medium,medium,157
167777,large,large,223
167777,cup,"cup, sliced",140
167778,cup,"cup, sliced",140
167778,small,small,159
167778,medium,medium,179
167778,large,large,219
167779,cup,"cup, sliced",140
167779,small,small,172
167779,medium,medium,202
167779,large,large,242
167780,tbsp,tbsp,18
167782,cup,cup,228
167783,cup,cup,228
167784,cup,cup,251
167785,cup,cup,251
167786,cup,cup,251
167787,cup,cup,249
167787,fl oz,fl oz,31.4
167788,fruit,fruit without pits,3.7
167789,cup,"cup without pits, thawed",112
167789,fruit,"fruit without pits, thawed",3.267
167790,cup,cup thawed,120
167791,cup,cup,233
167791,fruit,"fruit (4-2/3"" long x 2-3/4"" dia)",209
167792,fl oz,fl oz,30.75
167793,cup,"cup, sliced",109
167793,large,large,236
167793,medium,medium,192
167793,small,small,158
167794,cup,cup,249
167794,fl oz,fl oz,31.1
167795,fl oz,fl oz,30
167796,cup,cup,275
167797,cup,cup,252
167798,cup,cup,230
167799,cup,cup,233
167800,fl oz,fl oz,29.5
167800,fl oz,fl oz,29.5
167801,tbsp,tbsp,15
167801,tsp,tsp,5.2
167802,tbsp,tbsp,15
167802,tsp,tsp,5
167803,cup,cup,280
167804,cup,cup,280
167805,fl oz,fl oz,31
167807,cup,cup,269
167807,fl oz,fl oz,31.5
167810,oz,oz,28.35
167810,lb,lb,453.6
167811,oz,oz,28.25
167811,lb,lb,453.6
167812,oz,oz,28.25
167812,lb,lb,453.6
167813,oz,oz,28.35
167813,oz,oz,28.25
167814,oz,oz,28.25
